,Unnamed: 0,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
105,NMTRQ-TTG10-1,544.0522573750981,-4.07047575553279,0.9543176122772329,-4.2653260331428395,1.9961049758076397e-05,0.009300057321378041
74,PIBF1,1213.18327578862,-3.97082588794972,0.9001497856505841,-4.4112945992425,1.0275440042280301e-05,0.00688879201021192
179,HORMAD2,877.2714415335589,-3.5587383392071,0.882597620517082,-4.03211866481372,5.5276262345799094e-05,0.0154233351650429
270,PPP1CB,813.629632059433,-3.49205795136939,0.9125341139663979,-3.8267697589856704,0.000129835851216581,0.0240024428322802
242,ATP5J2,778.97562854243,-3.4077198972457006,0.8784863001376,-3.8790814344081803,0.00010485165203107,0.0217571350988183
183,HPCAL1,1496.3493077083801,-3.2683059389653506,0.8122777313276429,-4.02363109674743,5.730766010315e-05,0.0156602524872092
323,RPL17P2,1099.16285241519,-3.26046401824884,0.874551394989259,-3.72815598594853,0.00019288598197096101,0.0298982391035719
413,PCDHGA9,638.773501624382,-3.2207125223848303,0.8948652863942641,-3.59910320732436,0.000319316452025186,0.0387173305472527
278,HACD1,1575.5010782649201,-3.2195053418143798,0.8437961968744839,-3.81550112899275,0.000135906834634049,0.0244929446316652
393,CERS3,515.3994214136541,-3.2029848721638596,0.884686450408474,-3.6204746559473104,0.000294063055792298,0.0374323658437785
338,SDAD1,968.22811503532,-3.16592989572371,0.8542956799514609,-3.70589477393072,0.000210645746805432,0.0312433002806015
347,ZDHHC1,523.544084833414,-3.16040052154033,0.854084229798284,-3.70033822341708,0.000215312305409303,0.0314481590146391
267,YEATS4,596.213176213728,-3.11198178331766,0.811592049916545,-3.83441629774179,0.000125862821889174,0.0236138378634684
353,MIR4472-1,658.700674756629,-3.0342086785197697,0.822077369195172,-3.6909040343615196,0.000223458438332775,0.0317906762684781
488,ZDHHC15,584.376846816749,-2.9366771976119,0.832648595662995,-3.5269106474305403,0.00042043862430730803,0.043305082205777
398,TNFAIP8L1,561.364412258568,-2.7972486678035997,0.774174334036072,-3.61320253697957,0.000302438277480708,0.0380250011424844
491,NDUFB1P2,552.677948197745,-2.7663566355074902,0.7857992153913829,-3.52043700391028,0.000430836321281189,0.0439937288791843
535,PIGQ,320.040216126411,2.44903026671821,0.70500105538951,3.47379659646769,0.0005131498749897349,0.0482006222404477
481,TREML3P,268.864659218015,2.5503562014462204,0.722292362130328,3.5309195211814304,0.000414117727478702,0.0429754727912254
526,CDH12P3,277.283972149595,2.5586768515572897,0.734527554425584,3.48343208657193,0.00049502869956261,0.0472306224719309
483,EPN2,351.150111936259,2.6382069841854,0.747441514049347,3.5296500590295397,0.00041610965476321897,0.0429754727912254
411,RNA5SP138,321.035665876701,2.6676242383801,0.7409895932313659,3.6000832707338195,0.000318115288542736,0.0387173305472527
521,RNA5SP202,888.2337203246279,2.73820393406707,0.7842446717952299,3.4915174212137003,0.000480285143146681,0.0462628683573913
406,TIMM23B,347.075120514711,2.7407441504127403,0.7601388912676931,3.60558337679838,0.000311452471168582,0.0384770066408537
350,SLC5A1,320.573691792618,2.7439507906219305,0.742590552566904,3.6951059788425,0.00021979508981589399,0.0315604955817463
518,DYNC1H1,211.26967130906996,2.74586809785478,0.786008087319853,3.4934349177216397,0.00047684920096167693,0.0462105086708551
309,ANKRD63,260.10006110062596,2.7685991485749706,0.7353178651386278,3.76517323981107,0.00016643364785633502,0.0269950007995626
471,RPL21P115,343.957120263535,2.7791461248899103,0.784348937745096,3.5432522327111204,0.00039522449422170095,0.042183920258227994
509,LCP2,441.445775291221,2.78278698559368,0.794157206551785,3.50407572031801,0.00045819505395007195,0.0450851379797721
